	zld_2011_seq	dl_2015_seq	dl_2009_chip	twi_2011_seq	twi_2014_chip	twi_1_2009_chip	twi_2_2009_chip	sna_2014_chip	sna_1_2009_chip	sna_2_2009_chip	bcd_2013_seq	bcd_1_2009_chip	bcd_2_2009_chip	cad_2010_seq	cad_2009_chip	hb_2013_seq	hb_1_2009_chip	hb_2_2009_chip	gt_2013_seq	gt_2009_chip	Kr_2013_seq	kni_2010_seq	hry_1_2009_chip	hry_2_2009_chip
cad_2010_seq	39.3181563651	20.2484392296	39.7140795475	13.1396354465	25.4588146975	43.6205468511	44.019715674	26.6051195746	22.9775044162	32.9077558411	40.0851236868	24.8867772501	27.9445026959	100	65.0738217965	30.6057173725	29.1905727554	24.9767916241	35.7620997098	38.8887038882	49.8960839773	39.5866293015	26.4984653003	36.8726508122
cad_2009_chip	22.1837135436	16.7254470154	21.1614918605	0.308352717	14.9908964802	29.2631008988	30.0233677687	17.9019207344	9.3937384116	19.4919883306	33.204898567	32.8895824836	37.3976238268	65.0738217965	100	23.9367202366	27.3182324842	24.4734936053	28.9495456024	42.3611656345	40.4426665816	40.7669208605	21.352722582	22.3550697175
hb_2013_seq	20.6926288622	2.8071684695	27.7064018443	6.2264850271	14.6259587247	19.9603060871	20.1001230806	19.1222586599	5.4402751141	14.6677126466	26.8775806723	19.6144574516	22.93210401	30.6057173725	23.9367202366	99.6748061542	57.5562647325	63.9671611224	32.9691346852	17.4338685618	35.9756912307	29.6041054886	13.7325272791	16.0700657953
hb_1_2009_chip	9.1787179353	1.0738729025	26.9576277449	4.2782045191	10.3318362416	18.3026648506	18.3399427725	12.2116305506	-1.6775899816	7.2578233902	19.9282610996	23.5992201376	30.4043424055	29.1905727554	27.3182324842	57.5562647325	100	83.13955787	15.406762212	18.8582783229	22.1884136934	33.6595457225	7.6097887396	14.3578020704
hb_2_2009_chip	12.4241225035	-3.1135014666	20.5215588078	4.1877052234	8.9336354346	14.9628169821	16.6463389468	10.9829896073	-1.2551065804	7.3082294964	14.8048721464	16.6769403655	26.8775302704	24.9767916241	24.4734936053	63.9671611224	83.13955787	100	10.8996902149	17.9111350436	22.3629682874	33.6161271885	9.4488666741	11.5621816018
gt_2013_seq	22.6525460701	11.5690791327	20.8550945529	13.2016901373	25.7793741474	25.7441734074	26.8462448524	27.8185728699	6.8289817964	20.5100007768	42.1595771418	19.7021666814	23.8554076546	35.7620997098	28.9495456024	32.9691346852	15.406762212	10.8996902149	99.7993432652	51.6755217025	52.0312510871	30.0783721253	17.2838622277	16.6118058303
gt_2009_chip	12.9993405834	5.8967877513	16.3299327291	1.0630431824	10.1984968954	21.8041105624	20.8328299877	17.6697895716	0.952568794	18.869983874	21.8491506014	30.2932682985	29.6463438761	38.8887038882	42.3611656345	17.4338685618	18.8582783229	17.9111350436	51.6755217025	100	40.4314100384	38.8086985669	16.1312614814	16.3623274752
Kr_2013_seq	32.8891379669	16.723562734	28.1776342572	11.1226397593	28.4170583868	32.5035417396	31.907220276	31.2209149689	17.6450594793	30.5000634144	48.3639635884	36.1620378755	34.5640723663	49.8960839773	40.4426665816	35.9756912307	22.1884136934	22.3629682874	52.0312510871	40.4314100384	99.880625344	37.8252303733	22.4677418845	23.5864113385
kni_2010_seq	0.0507792099	1.0971319455	7.368974326	-2.5265958554	12.0663182367	8.1312416401	8.2959950095	6.8672449719	0.1474489202	6.1722492178	21.3097188652	28.0566720328	35.387033239	39.5866293015	40.7669208605	29.6041054886	33.6595457225	33.6161271885	30.0783721253	38.8086985669	37.8252303733	100	13.4248526357	15.0779631753
hry_1_2009_chip	13.4912446229	0.1218291072	7.9426771742	4.4949272008	8.5437689152	20.9326807539	22.3474038383	13.2127507504	4.8335798829	12.5506701874	12.4609344437	8.2878305355	7.8212857281	26.4984653003	21.352722582	13.7325272791	7.6097887396	9.4488666741	17.2838622277	16.1312614814	22.4677418845	13.4248526357	100	86.2159803021
hry_2_2009_chip	18.5507921575	6.4522786612	25.4211158586	12.1722361752	15.8004484251	31.881469442	33.867569428	16.1255786862	16.4019874759	23.1778829788	14.2090215544	5.9989473248	7.4552726045	36.8726508122	22.3550697175	16.0700657953	14.3578020704	11.5621816018	16.6118058303	16.3623274752	23.5864113385	15.0779631753	86.2159803021	100
