model_name	model_type	Seed	Window	gene	enhancers_per_gene	enhancers_called_on	Percentage_overlap	Percentage_overlap_50	Percentage_overlap_90	Percentage_off_target
Dl_Twi_chip_balance	Balanced	Dl15	1000	hb	4	3.1	27.5	27.5	27.5	62.5
Dl_Twi_chip_balance	Balanced	Dl15	2000	Kni	3	1.6	0	0	0	90
Dl_Twi_chip_balance	Balanced	Dl09	1500	brk	6	3.4	0	0	0	90
Dl_Twi_chip_balance	Balanced	Twi14	2000	Kni	4	2.4	0	0	0	100
Dl_Twi_chip_balance	Balanced	Dl15	2000	vnd	2	1.4	80	80	80	0
Dl_Twi_chip_balance	Balanced	Dl15	1000	vnd	2	1.3	45	45	45	35
Dl_Twi_chip_balance	Balanced	Dl09	2000	Kni	3	1	0	0	0	80
Dl_Twi_chip_balance	Balanced	Dl09	500	eve	4	2.3	0	0	0	80
Dl_Twi_chip_balance	Balanced	Dl09	500	rho	6	3.3	0	0	0	100
Dl_Twi_chip_balance	Balanced	Twi14	2000	Kr	9	7.1	12.2182539683	12.2182539683	12.2182539683	87.7817460317
Dl_Twi_chip_balance	Balanced	Dl15	500	hb	4	3.2	0	0	0	90
Dl_Twi_chip_balance	Balanced	Dl15	2000	sna	6	4.2	32	32	32	68
Dl_Twi_chip_balance	Balanced	Zld	500	Kr	10	6.8	0	0	0	100
Dl_Twi_chip_balance	Balanced	Twi14	500	sna	12	7.1	0	0	0	100
Dl_Twi_chip_balance	Balanced	Zld	1500	sog	3	1.6	26.6666666667	26.6666666667	26.6666666667	53.3333333333
Dl_Twi_chip_balance	Balanced	Dl09	500	Kr	7	4.7	0	0	0	100
Dl_Twi_chip_balance	Balanced	Dl09	1000	brk	6	3.3	0	0	0	90
Dl_Twi_chip_balance	Balanced	Dl15	1500	sna	6	4.2	14	14	14	86
Dl_Twi_chip_balance	Balanced	Zld	1500	brk	8	4.3	14.9166666667	14.9166666667	14.9166666667	75.0833333333
Dl_Twi_chip_balance	Balanced	Zld	1500	eve	7	4.7	0	0	0	100
Dl_Twi_chip_balance	Balanced	Dl15	500	rho	2	1.7	0	0	0	90
Dl_Twi_chip_balance	Balanced	Zld	1000	eve	8	4.3	0	0	0	90
Dl_Twi_chip_balance	Balanced	Twi14	2000	hb	5	2.3	51.6666666667	51.6666666667	51.6666666667	48.3333333333
Dl_Twi_chip_balance	Balanced	Dl15	500	eve	6	4	0	0	0	90
Dl_Twi_chip_balance	Balanced	Dl09	1000	Kni	3	1	0	0	0	80
Dl_Twi_chip_balance	Balanced	Twi14	1500	rho	4	2.7	31.6666666667	31.6666666667	31.6666666667	58.3333333333
Dl_Twi_chip_balance	Balanced	Dl09	1000	sog	3	1.9	21.6666666667	21.6666666667	21.6666666667	58.3333333333
Dl_Twi_chip_balance	Balanced	Dl15	2000	eve	3	1.8	33.3333333333	33.3333333333	33.3333333333	56.6666666667
Dl_Twi_chip_balance	Balanced	Dl15	2000	hb	2	1.7	65	65	65	35
Dl_Twi_chip_balance	Balanced	Zld	1000	brk	8	4.2	17.2619047619	17.2619047619	17.2619047619	72.7380952381
Dl_Twi_chip_balance	Balanced	Dl15	1500	eve	5	3.5	54.3333333333	54.3333333333	54.3333333333	35.6666666667
Dl_Twi_chip_balance	Balanced	Twi14	2000	sna	8	5.1	25.5714285714	25.5714285714	25.5714285714	74.4285714286
Dl_Twi_chip_balance	Balanced	Zld	500	eve	9	3.2	0	0	0	90
Dl_Twi_chip_balance	Balanced	Zld	2000	sog	3	1.9	21.6666666667	21.6666666667	21.6666666667	58.3333333333
Dl_Twi_chip_balance	Balanced	Dl09	2000	sna	6	3.3	13	13	13	77
Dl_Twi_chip_balance	Balanced	Zld	1500	sna	8	5	21.880952381	21.880952381	21.880952381	78.119047619
Dl_Twi_chip_balance	Balanced	Dl09	1500	Kni	3	1	0	0	0	80
Dl_Twi_chip_balance	Balanced	Zld	500	hb	7	3.5	0	0	0	100
Dl_Twi_chip_balance	Balanced	Zld	2000	brk	7	3.9	23.6904761905	23.6904761905	23.6904761905	66.3095238095
Dl_Twi_chip_balance	Balanced	Dl15	2000	Kr	2	1.8	45	45	45	45
Dl_Twi_chip_balance	Balanced	Dl15	500	sna	8	5.2	0	0	0	100
Dl_Twi_chip_balance	Balanced	Dl15	1000	sna	6	4	0	0	0	100
Dl_Twi_chip_balance	Balanced	Twi14	500	eve	14	7.9	0	0	0	100
Dl_Twi_chip_balance	Balanced	Dl09	1000	sna	6	3.4	0	0	0	90
Dl_Twi_chip_balance	Balanced	Zld	2000	hb	6	4.1	32.6666666667	32.6666666667	32.6666666667	67.3333333333
All_Data_Test	Unbalanced	Zld	500	vnd	7	3.5	0	0	0	100
All_Data_Test	Unbalanced	Twi14	500	rho	4	3.3	0	0	0	100
All_Data_Test	Unbalanced	Twi14	1000	eve	10	5.3	27.1904761905	27.1904761905	27.1904761905	72.8095238095
All_Data_Test	Unbalanced	Dl15	1500	brk	4	2.8	31.6666666667	31.6666666667	31.6666666667	68.3333333333
All_Data_Test	Unbalanced	Dl15	1000	rho	2	1.4	80	80	80	20
All_Data_Test	Unbalanced	Dl15	500	vnd	2	1.8	0	0	0	90
All_Data_Test	Unbalanced	Dl15	2000	brk	4	2.9	24.1666666667	24.1666666667	24.1666666667	75.8333333333
All_Data_Test	Unbalanced	Dl09	500	sna	6	4.4	0	0	0	100
All_Data_Test	Unbalanced	Twi14	1500	sna	8	5.4	19.0952380952	19.0952380952	19.0952380952	80.9047619048
All_Data_Test	Unbalanced	Dl09	2000	hb	9	2.7	33.3333333333	33.3333333333	33.3333333333	66.6666666667
All_Data_Test	Unbalanced	Dl09	500	hb	9	2.8	0	0	0	100
All_Data_Test	Unbalanced	Dl09	2000	rho	6	3	0	0	0	100
All_Data_Test	Unbalanced	Twi14	1000	sog	3	2.4	86.6666666667	86.6666666667	86.6666666667	13.3333333333
All_Data_Test	Unbalanced	Zld	1000	Kr	10	5.8	0	0	0	100
All_Data_Test	Unbalanced	Twi14	1500	Kr	10	6	17.0476190476	17.0476190476	17.0476190476	82.9523809524
All_Data_Test	Unbalanced	Dl15	500	Kr	4	4	0	0	0	100
All_Data_Test	Unbalanced	Dl09	1000	vnd	2	0.6	0	0	0	60
All_Data_Test	Unbalanced	Twi14	1000	vnd	8	4.4	21	21	21	79
