model_name	Seed	Window	gene	enhancers_per_gene	enhancers_called_on	Percentage_overlap	Percentage_overlap_50	Percentage_overlap_90	Percentage_off_target
Zld_train_all_Test	Zld	2000	brk	7	2	100	100	100	0
Zld_train_all_Test	Zld	2000	hb	6	2.7	38.3333333333	38.3333333333	38.3333333333	61.6666666667
Dl_Twi_Test	Zld	2000	vnd	4	3.7	28.3333333333	28.3333333333	28.3333333333	71.6666666667
Dl_Twi_Test	Zld	2000	eve	6	5.3	0	0	0	100
Dl_Twi_Test	Zld	2000	Kr	10	9.6	20.9444444444	20.9444444444	20.9444444444	79.0555555556
Dl_Twi_Test	Zld	2000	sna	8	7.5	26.9047619048	26.9047619048	26.9047619048	73.0952380952
Dl_Twi_Test	Zld	2000	rho	6	4.8	0	0	0	100
Dl_Twi_Test	Zld	2000	Kni	3	2.6	0	0	0	100
Dl_Twi_Test	Zld	2000	sog	3	2.8	26.6666666667	26.6666666667	26.6666666667	73.3333333333
Dl_Twi_Test	Zld	2000	brk	7	6.6	30.4761904762	30.4761904762	30.4761904762	69.5238095238
Dl_Twi_Test	Zld	2000	hb	6	4.8	21.5	21.5	21.5	78.5
FTwi14_train_all_Test	Zld	2000	vnd	4	1	100	100	100	0
FTwi14_train_all_Test	Zld	2000	eve	6	4	0	0	0	100
FTwi14_train_all_Test	Zld	2000	Kr	10	2	100	100	100	0
FTwi14_train_all_Test	Zld	2000	sna	8	3.2	63.3333333333	63.3333333333	63.3333333333	36.6666666667
FTwi14_train_all_Test	Zld	2000	rho	6	1	0	0	0	100
FTwi14_train_all_Test	Zld	2000	Kni	3	2	0	0	0	100
FTwi14_train_all_Test	Zld	2000	sog	3	2.2	50	50	50	50
FTwi14_train_all_Test	Zld	2000	brk	7	2.1	96.6666666667	96.6666666667	96.6666666667	3.3333333333
FTwi14_train_all_Test	Zld	2000	hb	6	2.6	40	40	40	60
