model	gene	Percentage_overlap	Percentage_off_target
All_Data_Test_Twi14_2000	vnd	60	30
All_Data_Test_Dl09_500	vnd	0	60
All_Data_Test_Twi14_500	brk	0	100
All_Data_Test_Zld_1500	Kr	16.4523809524	83.5476190476
All_Data_Test_Dl09_1000	rho	0	100
All_Data_Test_Twi14_1000	rho	0	100
All_Data_Test_Twi14_1500	vnd	19.6666666667	80.3333333333
All_Data_Test_Dl09_1000	hb	31.6666666667	68.3333333333
All_Data_Test_Dl09_500	sog	0	100
All_Data_Test_Zld_1000	vnd	0	100
All_Data_Test_Dl09_1000	Kr	0	100
All_Data_Test_Twi14_1000	Kni	0	100
All_Data_Test_Twi14_1000	brk	19.7738095238	80.2261904762
All_Data_Test_Zld_2000	eve	0	100
All_Data_Test_Zld_1500	Kni	25	75
All_Data_Test_Dl15_1000	Kni	0	100
All_Data_Test_Zld_500	sog	38.3333333333	61.6666666667
All_Data_Test_Dl09_1500	hb	31.6666666667	68.3333333333
All_Data_Test_Zld_2000	Kr	32.2698412698	67.7301587302
All_Data_Test_Zld_1000	sog	41.6666666667	58.3333333333
All_Data_Test_Dl09_2000	Kr	0	100
All_Data_Test_Zld_2000	sna	34.6904761905	65.3095238095
All_Data_Test_Twi14_2000	brk	0	100
All_Data_Test_Twi14_500	Kr	0	100
All_Data_Test_Twi14_2000	sog	85	15
All_Data_Test_Twi14_2000	eve	28.1666666667	71.8333333333
All_Data_Test_Zld_2000	rho	0	100
All_Data_Test_Zld_1500	rho	30.1666666667	69.8333333333
All_Data_Test_Dl15_2000	rho	90	0
All_Data_Test_Dl09_1500	rho	0	100
All_Data_Test_Dl09_1500	sna	0	100
All_Data_Test_Dl15_1500	rho	80	20
All_Data_Test_Dl09_2000	brk	17.1666666667	82.8333333333
All_Data_Test_Zld_500	Kni	0	100
All_Data_Test_Dl15_1500	vnd	45	45
All_Data_Test_Zld_2000	Kni	0	100
All_Data_Test_Dl09_2000	eve	0	100
All_Data_Test_Dl15_500	sog	0	100
All_Data_Test_Zld_500	rho	0	100
All_Data_Test_Dl15_500	brk	0	90
All_Data_Test_Zld_1500	vnd	0	100
All_Data_Test_Zld_1000	hb	54.1666666667	45.8333333333
All_Data_Test_Zld_1000	Kni	0	100
All_Data_Test_Twi14_2000	rho	0	100
All_Data_Test_Dl09_500	brk	0	100
All_Data_Test_Dl09_1500	sog	28.3333333333	71.6666666667
All_Data_Test_Zld_500	brk	0	100
All_Data_Test_Twi14_500	Kni	0	100
All_Data_Test_Dl15_1000	hb	50	50
All_Data_Test_Dl15_2000	Kni	0	100
All_Data_Test_Dl09_1500	brk	0	100
All_Data_Test_Twi14_2000	Kni	0	100
All_Data_Test_Dl15_2000	vnd	90	0
All_Data_Test_Dl15_1000	vnd	45	45
All_Data_Test_Dl09_2000	Kni	0	40
All_Data_Test_Dl09_500	eve	0	100
All_Data_Test_Dl09_500	rho	0	100
All_Data_Test_Twi14_2000	Kr	19.4285714286	80.5714285714
All_Data_Test_Dl15_500	hb	0	100
All_Data_Test_Dl15_2000	sna	36.6666666667	63.3333333333
All_Data_Test_Zld_500	Kr	0	100
All_Data_Test_Twi14_500	sna	0	100
All_Data_Test_Zld_1500	sog	43.3333333333	46.6666666667
All_Data_Test_Dl09_500	Kr	0	100
All_Data_Test_Dl09_1000	brk	0	100
All_Data_Test_Dl15_1500	sna	19	81
All_Data_Test_Zld_1500	brk	18.7619047619	81.2380952381
All_Data_Test_Zld_1500	eve	0	100
All_Data_Test_Dl15_500	rho	0	100
All_Data_Test_Zld_1000	eve	0	100
All_Data_Test_Twi14_2000	hb	63.3333333333	36.6666666667
All_Data_Test_Dl15_500	eve	0	100
All_Data_Test_Dl09_1000	Kni	0	40
All_Data_Test_Twi14_1500	rho	31.6666666667	68.3333333333
All_Data_Test_Dl09_1000	sog	31.6666666667	68.3333333333
All_Data_Test_Dl15_2000	eve	55	35
All_Data_Test_Dl15_2000	hb	70	30
All_Data_Test_Zld_1000	brk	25.0238095238	74.9761904762
All_Data_Test_Dl15_1500	eve	75	25
